ನಾಲಗ್ ವರ್ಷಾದ ಮೇಲೆ ರೋಣಾ ಗೋವರ್ಮೆಂಟಿಗೆ ನಿವು ಸಾಲಾ ಕೊಡವ ರೇತಿ ಬಳದಿರತಿರಾ ನಿಮಗು ಸಬ್ಸಿಡಿ ಬರೆ ಕೊಡವೇಕ ಗೋವರ್ಮೆಂಟಿಗೆ. ಕವರ್ಷ್ಟೂರಿಗಿ ಸ್ವಾಗತಾ ನಾನು ವಿಜೆಲಕ್ಷಮಿಶಿ ಬರೋರು ಕಾಡುಗಳ್ಳ ವಿರಪ್ಪನ್ ಸತ್ತಾಗ ನಾವೆಲ್ಲಾ ನಿತ್ತಿಸರು ಬಿಟ್ವಿ ನಾಡಿನ ಗಂದದ ಗಿಡಗಳೆಲ್ಲಾ ಉಳುದುವಿ ನಾವು ನೆಮ್ಮದಿಯಂದ ಇದ್ದುವಿ ಆದರೆ ನಾಮ್ಮ ನೆಮ್ಮದಿಯನ್ನ ಕೆಳಿಸ ನಮ್ಮಲ್ಲಿ ಒಂದು ವಿಚಿತ್ರವಾದ ಮನವಿ ಮಾಡ್ಕೊಂಡುರು. ಅದೇನಂದ್ರೆ ಬೆಂಗಳೂರು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆ ಆವರಣದಲ್ಲಿ ಕೋಟಿ ರುಪಾಯ್ ಶ್ರಿಗಂಧ ಲೂಟಿಯಾಗ್ತಿದೆ ನಮ್ಮ ಗ್ರಹಿಲಾಗಿಯ ಕಣ್ತಿರಿಸಿ ಅನ್ತ ಬೇಡಿಕೊಂಡುರು ಅವರ ಮನವಿಗೆ ಸ್ಪಂದಿಸಿದ ಕವರ್ ಸ್ಟೋರಿ ತಂಡ ಜಾನದೇಗುಳ ಜಾನಭಾರತಿ ಅತ್ತ ಪ್ರಯಾನ ಬಿಳಸಿಯೆ ಬಿಟಿತು ಮುಂಜಾವಿನ ಚುಮುಚ್ಚುಮು ಚಲಿಗೆ ವಿಸಿರಕ್ತದ ಪರಿಸರ ಪ್ರೇಮಿಗಳು ನಮ್ಮನ್ನ ಸ್ವಾಗತಿಸಿದ್ರು. ಪಹಳ ಉತ್ಸಾಧಿಂದ ಇದ್ದ ಅವರು ನಮ್ಮನು ವಿಶ್ವವಿಧ್ಯಾನಿಲೆಯದ ಕೆಂಪಸ್ ಸುತ್ತಾಡಿಸಿದ್ರು ಇಲ್ಲಿನ ಕಾಡು ಯಾವರಿತಿ ಕಸದ ತೊಟ್ಟಿಯಾಗ್ತಿದೆ ಪ್ಲಾಸ್ಟಿಕ್ ಬಳಕಿನಿ ಶೇಧಿಸಲಾಗಿದ್ರು ಮೈವಾಗಿದೆ. ಕಟ್ಟಡಗಳ ತ್ಯಾಜ್ಯವನ್ನ ಇಲ್ಲಿ ನಿರಾಸೆ ನಾನ ಬಹಾರತ್ಯಾ ಗಂಧದ ಗುಡಿಯಲ್ಲಗೆ

ಪೋಷ್ಕಾಮ್ಷಗಳನ್ನು ಸಹ ಪೊರೆಕೆ ಮಡಪ್ಪಗಿತೆ ಸದ್ರುಡು ಬ ಪ್ಲೋಯಿಂಗೆ ಮಾಡಿ ನಿಟ್ವೋದು. ಇನಿಶಲಿ ಗೊಬ್ರಾ ಕೊಟ್ಟಿದಾದಲ್ಲಿ ಸೂಕ್ತಾಲ್ಲಿ ಪ್ರಿತ್ತಿ ಗಿಡಾಕೆ ಯಾಡು ಬುಟ್ಟಿಯಸ್ತು ಉತ್ಕುರಿಷ್ ತೋಗಿರಿ ಬಿಜಾ ಹಾಕ್ಕಿದರೆ ಸಾಕು. ಬೆಳಿತದೆ ಹೋಣಗುನ ಸೋಪ್ಪು ಅನ್ತಾ ಕಟ್ಟಿಂಗ್ದರನ್ನು ಹಾಕ್ಕಬೋದು ಇಲ್ದೆದರೆ ಕೈಶೂರಿನ ಗಾಲಿ ಸಿಗಂದಕ್ಕೆ ಸುತ್ತಮುತ್ತ ಬೆಳಿಯೋತ್ತಕ್ಕನ್ನು ಮಿಡ್ಸ್ ಕಲೆಗಳು. ಗ್ರಾಸಸ್ ಇರ್ಭೋದು ಅವುಗುಡ ಕಲೋ ಹೋಸ್ತು ಕರೆದೆ ಶಿರಾದಿಂದ ಮದು ಸೂದನ್ನು ಕರೆಮಡಿದ್ದರೆ ಸರ್ವಿ ಪ್ರಶಣಿಕೆಳೆ ಸಿಗಂದಕ್ಕಿಡು ಆಕ್ವೇಕಂತು ಇದಿವೆ. ಅದ ಬಳಿಬಾರ್ದು ನಿತಿನಿಯ ಮಳಗಳಿ ಇದ್ದು ಇತ್ತಿಜಿಂದಿನಿಗಳೆ ಸೊಪ್ಪ ಸಡಿಲಾ ಆಗಿದೆ ನಮ್ಸ್ಕರ ಮತ್ಸೂದನವರೆ ಬಳಿವದಿಕ್ಕೆ ಯಾವುದೇ ಅಡಿಚನೆ ಇಲ್ಲಾ. ರೂಲು ರೆಗ್ಲೇಶನ್ಸು ಯಾವುದು ಇಲ್ಲಾ ಅಡಿ ಮುದಲುನು ಇದ್ದಿಲ್ಲಾ ಮುಂಚೆನು ಸರ್ಕಾರದ ಆಸ್ಥಿ. ಅದನ್ನು ಮೆಚ್ಚುರಾಗಿದಾಗಾ ಅವಗಲು ಕೊಡಾ ಕಟಾವನೆ ಮಾಡಿದಾಗಾ ಡಿಪೋಗೆ ಸಂಡಲ್ಲುವುಡ್ಡ ಅರಣ್ಯಲಾಕೆ ಸಿಗಂದದ ಕೊಟಿಕೆ ತಗಂಡಾಗಿ ಅಲ ಇವತ್ತುನು ಅದೆಯಿದೆ ಅದರೆ ಮೋದ್ಲಿ ಎಂದರೆ ಎಲ್ಲಿದ್ದು ಸರ್ಕಾದ ಆಸ್ಥಿ ಇವಾಗೆ ಪೂರ್ಣ ಸರ್ಲಿಸ್ಯಿದ್ದಿವಿ

ಯಾರ ಜಾಗದಲ್ಲಿದ್ದೆ ಅವರ್ಧೆ ಪರಾರಂಬಿ ಕಾಂತದಲ್ಲಿ ಸೊಲ್ಪ ನಿರಾವರಿ ಬಿಲಿಕಾಗವದು ನಿರಾವರಿಗೆ ನಾರ್ಮಲ್ಲಿ ಎದಿಕೆ ಡಿಪ್ಪಾಕೆ ಹೇಳದಿಲ್ಲಾ ಸ್ರಿಗಂದ ಚನ್ನಾಗು ಬಿಳಿತಿದೆ ಬಿಳಿತಿದೆ. ಬುಣವರಿಪ್ವರಾಗಿದಂ ವಾಗಳ್ಳದನ್ನ. ಎರೆ ಬೂಮಿಂದಲ್ಲಿ ಬಿಳಿಪುದು ಅವರ್ಕೆತ್ತಿದರಿ ಅವರ್ಕೆತ್ತರಿದ್ದರಿ ನಾಮಸ್ಯಾರನ್ನು ಶಾಗರದಿಂದ ಸಮರ್ತಾ. ನಮಸ್ಕರಾ. ಸಮ್ಮರ್ತವರೆ ನಮ್ಸಕಾರ ಪ್ರಶ್ಣಕೆಳಿ ಸಾರಿದು ಎಸ್ತಡಿ ಅಂತರಕ್ಕೆ ಮತ್ತೆ ಹಳರು ಕಾಕರು ಜಾಸ್ಟಿಯಲ್ಲ ಸಾರಾ ಸಮ್ಮಸ್ತಯಿಯನಾರು ಪರಿಯಾರಕ್ಕೆ ವಳ್ಳಿ ಪ್ರಸ್ಣೆ ಎಲ್ಲವದ್ಕಡೆ ಬಳದ್ಮಲ್ಲ ರಕ್ಷಣಿ ಮಾಡದು ವಾಳ ಬುಕ್ಯ ಮಾಡಲಿಕ್ಕೆ ಕ್ರಮ್ಮಗಳನ್ನು ರೈತ್ರು ತಗಿತ್ಕುಳುಂಬಿಕಾಗುತ್ತೆ ಅವಗ ಎಂಟು ವರ್ಷಕ ಬರ್ತದೆ ಅವಗೆಂದ ಕಾವಲ್ಲಿಟ್ತುವಿ ಹಗಳು ಗನ್ ಲೈಸನ್ಸಿದ್ದ ಅವಗೆ ಪೊಣತಿವಿ ಅಂತ ಹೇಳ್ತರೆ ಸುಸ್ತಿರ ಕ್ರುಷಿ ಎಂತ ನಿವೆ ನೇಳ್ತಿರಿ ಶಾಟ್ ಟರ್ಮು, ಮಿಡಿಯಂ ಲಾಂಟ ಮೂರು ಇರ್ವೇಕು ರೈತಾ ರಿಟರ್ಯಾಗಿ ಅಂಕೆಯಲಿ ವೇವಸಾಯಮಡಾ ಕಾಗದೆ ಇದದಗಾ ಬೇಲಿಯಲಗ ಗಂದ ಪಾರಸಿಟಿದು ನೂಟ್ರಿಯಂಸ್ತಿದೆ ಜೆರ್ರಿಂಟಿದು ಮಾಡ್ಡಿಯಲ್ಲಿ ಕಾಗಲಾ ಅದಿಕೊಸ್ಕರ ಗಿಡಗಳಾ ಬೇರಿಂಚುತ್ತೆಯಿಂದು ಅಭಿರ ವಿರುತ್ತಿದೆ ನಾನ್ ಇರ್ರಿಗಿಟಿದ್ದೆ ತುಂಬಾ ಅತ್ರಾಕ್ಪುಟ್ರೆ ಅರಡಿಯಿದೆ

ಇದ್ದಿಸ್ಟೆಂಸ್ತು ನಿಮ್ಗೆ ಕಾಡಲ್ಲಿ ಒಗ್ಣು ಒಡಿದೆ ಅದೇರಿದಿನೆ ಗಂದಿದ ಅದ್ದರಾನಿಂಗೆ ಕ್ರಾಪ್ ಡಿವರ್ಸಿಟಿಯಿರುದ್ದರಿಂದ ಇದುರಲಿಂದೆ ಬರತ್ತೆ ಇದುರಲಗೆ ನಿಮ್ಮು ಅಗ್ರಿಕಲ್ಚ ಕ್ರಾಪ್ಸ್ಟು ನುಂದು ಬಳಕಬೋದು ಅ ಸಿಗದಿಲ್ಲಾ ಕೊಸ್ಕರ ಡಿವರ್ಸಿಟಿಯಿಂದರಿದಲ್ಲು ಗಿಡುಗುಳ್ಳನ್ನು ಆಕ್ವಳಿಯಿಂದಾ ಇದುದೆ ವಾಣವಾಸ್ಟ್ಟು ಪ್ರಾಷ್ಟ್ಟೆ ಇಲ್ಲಿಟಿಂಗು ಇಶ್ವಾಲ್ಲಿಂದರಿ ಅಕ್ಷಿಯಾ ಪ್ರಾಷ್ಟ್ಟು ವಾರಸ್ಟಿದಗಾ ಇನಾಗತೆ ನೇಚರಿಗೆ ಎಲ್ಪಾಗತೆ ನಮಿಗೆ ಇದರ್ಮದ್ದಿದಲ್ಲಿ ಎಂಬಕಾರ್ಣು ಫುಡ್ಡು ಬರಕಂತಾರೆ ಸಿತಪಲ್ದಿಗೆ ವೇಲ್ಲ ಇಳ್ಡಿಂಗೆ ತುಣ್ಣಿಗೆ ಅನ್ನಲ್ಲಿ ಸಿತಪಲ್ಲಿ ಕಾಟ್ಟಿದಲ್ಲಿ ಅವರಿನ ಪೇನಟ್ ಬಟ್ಟರ್ ಗಿಡ್ಗಳು ಮಾಡ್ಯ ಎಂಬಕಾಗತೆ ಬಿದ್ವಹಿದೆ ಕಟ್ಟುಬೆಕೆ ಸರಿಯಾಗಿ. ನೈಚರಲ್ಲಗಿ ಪೋಲ್ಸಾಗಿರುತ್ತೆ ಹವದೆ ರಿತ್ಯಾ ಬರಲ್ಲಾಯಿ ಟೋಮಟಾಗಳ್ಳನ್ನು ಅಂಕಡು ಕಮ್ಬಗುಳ್ಳನ್ ರಿಟೆಡ್ಡಾಗಿ ಅಂಕೆಯಿಲ್ಲಿ ವೇವಸಯಮಡಾಕ್ಕಾಗದೆಯಿದಗಾ ಬೇಲಿಯಲ್ಲಗೆ ಬದುಮೆಲೆ ಮರಗುಳ್ಳಗಣ್ಣು ಗಿಡಾಮರ್ಗುಳ್ಳಿ ಇದ್ರೇನೆ ಅವಂ ನಾಟಿ ನಾಟಿನೆ ಇದುಲೆನು ಇಬ್ರಿಡ್ಡು ಇನು ಗಂದದಲ್ಲಿ ನಮ್ಮೈಸುರು ಗಂದನೆ ಅಮಾ ನಮಸ್ತೆ ಹೇಳ್ಟಾಯಿದ್ದೆ ಇವತಗರು ಸ್ಪೇಶಲ್ ಗೆಸ್ಟ್ ಬರ್ತಿಯಾರೆ ನಾನಂತ್ತು ಅರು ಫಾನ್ ಅತ್ತಾ ಹೇಳ್ಟಿದ್ದೆ ನಿಮನ್ನ ಕರ್ಣಾಟಗದ ಸಾಂಡಲ್ಲೂಡ್ ಲೇಡಿ ಅರ್ಥಾರೆ ನಿಮು ಫಿನಾಂಚಲ್

ಫುಡಿಮಾಪಲ್ಲಿ ಸಮಗ್ರ ಕೋರ್ಸಗೆ ಮೆಂಟರಾಗ್ಬಿಟ್ಟು ಬಾಳಸ್ಟು ಜನಕ್ಕೆ ಇಂಸ್ಪಾರ್ಮಾಡಿದ ಅದನ್ನೋಡನಗಾ ನಾರು ಗಾಂಚಿತ್ತು ಯಾರಪ್ಪಾ ಇವರು ಇಸ್ಚನಾಗಿ ಮಾತಾಡಿತ್ತಾರೆ ರೈತ್ರಿ ಗುರಿದುಂಸ್ತಾರೆ ಅಲ್ಲಾಗಿತ್ತು ಅವಾಗ ಮಾತಾಡಿದಗು ಕುಡಾ ಮಾತನಕ್ಕೆಯಿದಿದ್ದೇ ಅವೇಲ್ಲಾಮ್ ಟಿಮಿಗೆಯಿದೆ ಸುರೇಶ್ಟ್ಸರ್ ನಿಮ್ಮ ಊರಿಗು ಜೊದಗೆ ಶೂಟ್ ಕೂರ್ಸನ್ನ ಮಾಡಿದ್ದು ಸೋ ತಾಂಯ್ಯೂ ಮಾಚ್ ನೆ ಒಪ್ಪೇಟ್ಟು ನಾಮಾ ಕೋರ್ಸ್ಗೆ ಐಪ್ಪ ಕೋರ್ಸನ್ನ ಮಾಡಿಕುದ್ದುಕ್ಕೆ ನೀ ಮೈಂಟರಾಗಿ ಕೂರ್ céವತ ты ಅಕ್ಕೆ ಮಾಗಿಚೆ ನಿಮ espaço. ನಿಮಾ last ನಿಂದು ಸಾಧನೆ ಇಂಫಾಕ್ಟು ಕರ್ಣಾಟಕಿದಲ್ಲಿ ಮನೆ ಮಾತಾಗಿದೆ. ಮೊದಲ ಬ್ರಶ್ಣಿಯಾಮಾನು ಕೇಳುವೇಕೊ ಬಾಲಸ್ಟು ನಾಕ್ಕೊ ಗೊತ್ತುಂಡು ಗಣ್ಣನ್ನಮನೆ ಹೋಪ್ ಮಾರೆಜ್ ಮಾಡುಕೊಂಡು ಕುರುಷಿಯಿಗೆ ಕೈಯಾಗ್ಕೊಂಡು ಕುರುಷಿಯಲ್ಲಿ ಇಸ್ಟುತೋಡು ಮಾಡೋಕ್ ಹೇಗಾಯಿಕೊ ಮಾಡುಕೊ ರೋಟ್ಟಿ ಬೇಕೆ ರೋಟ್ಟಿ, ಎರಡು ತರದು ಕಾಯಪಲ್ಲೆ, ಅನ್ನ ಸಾರು ಇದೆಲ್ಲಾ ಮಾಡುಬಿಟ್ಟೆ ಹೊರಾ ಗೊಗೋದು. ಯಾಕಂದರ್ ಎಂಡಮಕ್ಲಿ ಮನೆತ್ತರನು ಅಟ್ಟಿವಾಗುತ್ತೆ ಅದಕ್ಕೆ ರಿಕ್ವೇಸ್ಟ್ ಮಾಡುದು ಎಂಡಮಕ್ಲಿಗೆ ಮುಂಜನ ನಾಯದುವರಿಗೆ ಎದ್ದು ಎಳುವರಿ ಎಂಟಿಕ್ಕು ಮಕ್ಕುಂಬಿಡ

ಕಾಗುತು ಸಾಕಾವಿಲ ಅನ್ಣವರ್ಗಾಲಿರಿವಾಗು ಹೇಗು ಓದಿದ್ದುಗೆ ಎನ್ನುತು ಅಡಾಲಾದಿವರಾಗುತ್ತರೇ ಗ ಮಾತಿಗೆ. ನೆವು ಹೇಗೆ ನಾವೆಲಾ ಅಪ್ಪಾ ಮಡಿಂದ ಮಾಡಿತ್ ಇವನ್ ಬದ್ನೆಕೆಯನು ಎಡತ್ತಿನೋದಲ್ಲಗು ಬರ್ತದಂತು ಗೊತ್ತಿದಿದಿಲ್ಲಾ ಜಲ್ದಿ ಸಿಕ್ಬಡಿತ್ತೆ ಎಂತು ತಿಲ್ಕೊಂಡಿದಿದಿದಿಲ್ಲಾ ಅಗಂದರು ಅದರ್ಭಗೆ ನಾಲೆಜಿದಿಲ್ಲಾ ಅದರ ಇದರ್ವು ಪ್ರಾರಂಬಿಕ ನಿವಿದಿದೆಗೆ ತಲ್ಲಿಗನುದಿದೆ ವಾಗಿತುಕೆ ತರಿದೆಗಿ. ಮಾಡಾಕೆ ಕಿರಿಶಿ ಆಗ್ವೇಕು ಸೊಲ್ಪು ಎನಾದುರು ಚೇಂಜ್ಯ ಮಾಡವೇಕುಂತ ಫರ್ಸ್ಟ ಕೈ ಆಕ್ಯಿದ್ದು ಅರ್ಟಿಕಲ್ಚೆರ್ ಕ್ರಾಪ್ನಲ್ಲಿ ಪಮ್ಮೋ ಗ್ರನೆಟ್ ಮದ್ಲ ಇಳದಂಗೆ ಇವತ್ಯುಗು ನಿರಿಂ ಸಮಸ್ಸೆ ಬಾಳಾಯಿದೆ ಸರ್ ನಿರ ಅಷ್ಟುಂದು ಕಡಮಿ ನಿರನಲ್ಲಿ ಆಯಕ್ಯಿ ಮಾಡಕೊಂಡು ಇಂತ ಮದ್ಲು ದಾಳೆಂಬೆ. ಮಾಡಕೊಂದು ಇವವಲ್ಲಿ ಹೇಚಿಗು ಆಯಾನ್ನು ಲುಕ್ಷಿದ್ದೆ ಅವಧಿಂದು ರೇಟಿಸೂ ನೀರದು ಮಳೆ ಬಲ್ಲು ಬಳ್ಳು ಅವಧಿಂದೆ ಐವು ಹೇರ್ಣೆ ಕ್ಷಿದುಂದು ಅಗದೆ ಕೊಟ್ಟೆ ಅಮೆಲ್ ರೇಟ್ನು ಚಿನ್ನಾಗ್ ಸಿಕ್ತು, 180, 143, 153, 128 ಇತ್ರಾ ಉಳ್ಳೆ ರೇಟ್ಸಿಕ್ತು, ದುಡ್ಡುನು ಬಂತು. ಏಯ್ಯನಾಗತ್ತೆ ದಾಳಿಮ್ಬೆಗೆ ನಿರ್ ಹೇಚ್ಗಿ ಬರ್ಬಾರ್ದು ಚನ್ನೈ

ಫ್ಲಡ್ ಹೇಚ್ಚಾಗಿ ಆಳಣೆ ಸಿಲಾಗ್ ಅವಾಗೆ ಎನಾಯತ್ತು ಬಾಳಸ್ಟ ವರಿಗಿಂದು ಸಾಲನು ತೋಗುಂಡಿದೆ ಕಂದರೆ ಎಕ್ಸ್ಪೆಕ್ಟಿಶನ್ ಭಾಳಿತ್ತು ದುಡ್ಡವರ್ ಕೇಳಬೆಕಾದರೆ ಯಾರಗಾದರು ಹೆಲ್ಪ್ ಕೇಳತ್ತು ಎಲ್ಲ ಮೋಬಾಯಲ್ಲು ಸ್ವಿಷ್ಟಾಫ್ ಆಗಿತ್ತು. ಯಾರಗಾದರೆ ಆಗಿತ್ತು ಅವತ್ಟಿ ಅವದಾಲೆ ಗಿಡಾ ಮರಾ ತಕ್ಷನ ಕಾಡಲ್ಲೇ ಶುಮಗ್ಗಾ ತಿರ್ತಳ್ಳಿ ಸಾಗರಾ ಅಕ್ಕಡೆನೆ ಚನಾಯಿ ಅಂತಕ್ಕಂತವದು ಸ್ರಿಗಂದತ್ವದು ಬೇನಿಗಡಾ ಜಾಲಿಗಡಾ ನಮ್ಮಾಗು ಸಿರೆಷ್ಟಾ. ಬರತ್ತದಲ್ಲ ಮಳ್ಣಾಣೆಲ್ ಬರದಿಲಾ ಸಿರೆಷ್ಟದಲ್ಲ ಬರದಿಲಾ. ಕುಡನು ಅಲ್ಲಿಕಿಂತ ತಲಾಗಿರಲ್ಲಿ ಯಾಕಾ ಚಿನಾಯಿಗಿ ಬರತ್ತನ್ತನ್ನಾರು ಕಾರಣಿಸ್ತೆ ನಮ್ಮಗು ಬೇಕಾಗಿದ್ದು ದಡ್ಡು ಬಡ್ಡೆಗದು ಬೇಕಾಗಿಲ್ಲಾ. ಸರಿಗಂದ ಬರತ್ತನ್ನನನ್ನು ಮಾಡಿಗಿಲ್ಲಿ ಬರತ್ತನ್ನನ್ನನ ಕಟ್ಟವಿಗಿಕೊಗು ಬರಕೆ ದಪ್ಪಯಿರುವವಾಕು ಕಟಾವಾಗಳಿಕ್ಕೆ ದಪ್ಪ ಬೇಕ್ಕವನ್ನಗಿಲ್ಲಾ ನಿರು ಸಂಪುಣ ಸಂಪದ್ಬರಿತವಾಯು ಕೊಟ್ಟಿರಿ, ಕೊಟ್ಟಿಗೆ ಕೊಟ್ಟಿರಿ ಮುಂuments'' ಈದ ತೆವಾಂಶಿಲ್ಲಾ 38-40 ಡಿಗರಿ ತೆಮ್ಪರೈಚ್ಚರಿದೆ ಮಾಡವೇಕ್ಕು. ಕೆಳಗೆ ಮಾಡತದೆ ಎಲಿ ಊವಾ ಕಾಯೆ ಉದರಿಸ್ತದೆ ಸಾಕ್ರಾಗ್ತೆ ಕೆಳಗಡೆ ತೆವಾಂಸಿಯಿಲ್ಲಾ ಮೇಲ್ ಬಿಸಿಲಿದೆ. ಸಂಸರನ್ನು ಕಡ್ಡಿಗಳನ್ ಸಾಯಿಸ್ತದೆ ಅದಕ್ಕ ಸೆಕೆಂಡ್ರಿ ಮೇಟೋಬಾಲಿಸ್ತದೆ ಅವತ್ತೆವಿತ್ತಿವೆ ಇಟ್ಟಿಸ್

ನತ್ತಿಂಬಟ್ ಡಿಫೆಂಸಿವ ಮೇಕೆನಿಸಮ್ ಅಗಿನಿಸ್ಟು ಡ್ರಾಟ್ ಫಾರ್ ಬಗವಂತ ಪ್ರತ್ತಿ ಜಿಯು ಉಳಗನು ಅದಂ ತುಮ್ಬಯನು ಬದಕು ಗೆಳ್ಳು ಸೋಳಬಡಾ. ಪ್ರತ್ತಿಂಬಗು ನತ್ತಿದೆಗೆ ಬೆಲವನಿಗನು ಸ್ಟಾಪ್ ಮಾಡಿದಿದಿದೆ ನಿತ್ತಿಂಗು ಬಾದು ಇನಮ್ಮ ಫಾರ್ಮೇಶನ್ ಆವ್ಟುಡ್ ಆಂಡೆ ಅಕ್ಯೂಮಿಲೆಶನ್ ಆಯಿಂದು ಉಳಗಳೆ ಆಟುಡ್ ಪಾರ್ಮೆಶನ್ ಸ್ಟಾಟ್ ಮಡಿಕಂದು. ಅದಿವುದು ನಾಮು ಬಯಲಸಿಮೆ ತಪ್ಪು ನಿರ್ದಾರತ್ತುಕೊಂಡಿವಿನು ಇರು ಶುಮಗದರು ಅವರಿಗಿಂತುರ ಪುಣ್ಯವನ್ತುರು ಬಡು ನಾಕೆಂಟೆಕ್ಕರು ಜಮಿನಗು ಇಂಗಾಗಿ ಇವತ್ತು ಬುವು ಸಂಪನು ಮೂಲಾ ಇದೆ. ಇಟಲಾಯಿಜಿಸನ್ ಬೇಕ್ಕಾಯಿದು ಎಲ್ಲೆ ಒಂಕ್ಕಡೆ ನಮ್ಮಲಿ ಪರ್ತಕಂತ ಪ್ರಬೇದಗಳೆನೆ ಬೇರೆಯರು ಸಲ್ಪು ನೋಡಲ್ತು ರಕ್ತ ಚಂದನು ಪರ್ಚೆನ ಆಗಿರುದಿಲ್ಲಾ. ಆಗಿರುದಿಲ್ಲಾ ಮಂದ್ದು ಇಷ್ಟಯಿರುತ್ತದಾ ಇಂಗಾಗೆ ನಂಪುತ್ತೆ, ಕಾರದಿವಾನ ಇಧಿವೇ ತೇರೂ ನರುಯಾಪ್ತುಂ ವಿಪ್ರಥುವಲ್ಲ ವಿಪ್ರಥುವಲ್ಲಿ ಗಾತ್ರಾ ಸೇಪಟ್ ಸುಮ್ಮೆ ಕೂದಲೆಲೆ ಒಷ್ಟು ಬಂಜಿದು ನೋಡಿನಾವು. ಆಟ್ಟೂಡೆ ಆಯಿಲ್ ಪರ್ಸಿಂಟೆಸ್ ನಾಕುವರು ಆಯಿದು ಪರ್ಸಿಂಟು ಪದದಾವು ಆಟ್ಟೂಡೆಸ್ ಆರಿತಿ ಇಲೆನಗತೆ ಬರಾ ನೇರೆ ಅತಿರುಷ್ಟಿ ಅನಾರುಷ್ಟಿ ಅಕ್ಕೆಂತು ಓದಾಗಾ ಯವಾಗ

ಆಯಿತಂದಾಗಾ ಪ್ಲಾಂಟೆ ಸ್ಟ್ರಸ್ಟ್ನೆ ಒಗತ್ತೆ. ಮಲ್ಲಿನಾಡಿನಿಲ್ಲಿ ಇನಾಗತ್ತು ದಪ್ಪು ಬರತ್ತುದಾ ಅಟ್ವಿಟು ಪಾರ್ಮಿಷ್ಯನ್ ತಾಯಂತುದಾ ಮಲ್ಲಿನಿನು ಬಾಗದರು ಅಲ್ಲಿವದಾಗಾ ಅತವ ರೈತ್ ಮಲ್ಲಿನಾಡಿನಿನು ಆರೈತ್. ಅತತುವರ್ಷದು ತೆಂತು ಒಂದಾಗಾ ನಮ್ಮಲ್ಲೇ 3 ಎಂಗಾಗಿ ಪೆಲಕ್ಕಾವು ನಹಿಂಗಾಗಿ ಅತರುಪ್ಪ್ಪು ಪೆಲಾದಂತ್ತ ಬರಗಾಳನ್ನನ್ನು ನಿರಿಕ್ಷಿತ ಅನ್ನರ ಅಲಿ ಎನಾತ್ತು ಇಂಗಾರಿ ಮುಂಗಾರಿ ಅತ್ವರಿಸಿದುಲಗ ಬರನಾವು ನಿ ನಮ್ಮೇ ಅಶಿಬರಾ ವಣಾಬರವೇರೆ ವೇರು ಎಟ್ಟ ಜನಕು ಪೆಳೆ ತಕರ್ಲಕ್ಕಿ ಆಗಳಿಲ್ಲಾ ಅಯಿತ್ತು ಎರುಡು ವರ್ಷಿಯ ನಮ್ಮುಗಿ ಸಂಪೂಣ ಸಂಪತ್ಪರಿತ್ತವಾದ ಕ್ರಾಪ್ತಿಗೆಂತರು ವತ್ತ ಕುಷಿಲೆ ಅಬ್ಬಾ ಮಾಡಿವಿ ಬಟ್ಟಿತನ್ನು ಬರಿತಿವಿ ಎ ಆವಗಧವಗುಂಗಾ ಮುಂಗಿ allow ಚೋರಿಯಾಗುಂಗೆ Ș ೇತನೆ ಏನ್ ಗೋ thyroidические ಅನ頻 ದರೆ ಇಲ್ಲೆ ನಮಿ happiest were up ge sheet implement Mariant ಇವಾಗಿ ಇವತ್ತೆಯನ್ ಮೆಡಮ್ ಮುರೆದು ಟಿಚರ್ ಇದ್ದುರು ಕುಳನು ಕುರ್ಷಿ ಮೈಳೆ ಅನುಭೋಗಳನ್ನ ಮಾತ್ನೆಲ್ ಕೆಳುಬವತ್ತೆ ನಿರಾಶಿ ಪಡಕಬಕ್ಕಾಯಗಿಲ್ಲಾ ಅಮಲೆ ಸ್ಮಂದಿರ್ತಾರ ಸರಳು ಬರುಬಕ್ಕು ಬಾಳಾ

